experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.8362727272727273,27,40154,40155,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,17,0.0166015625,0.006773999938,151166.2251804408,111360.80227428397,4729,2038,2084,8851,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,28,40156,40157,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,16,0.015625,0.006645999942,154077.64203077086,115433.65009525276,4405,2129,2080,8614,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,29,40158,40159,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,23,0.0224609375,0.006645999942,154077.64203077086,102477.95542062375,4609,2101,2038,8748,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,0,40200,40201,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,15,0.0146484375,0.006645999942,154077.64203077086,117391.51145067452,4567,2089,2128,8784,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,1,40202,40203,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,10,0.009765625,0.00670999994,152608.04905461744,126489.43346365567,4702,2066,2186,8954,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,2,40204,40205,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,13,0.0126953125,0.006517999946,157103.4072543087,123788.84957019439,4614,2012,2057,8683,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,3,40206,40207,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,15,0.0146484375,0.0065819999439999995,155575.81414649737,118532.96641299324,4570,2073,2086,8729,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,4,40208,40209,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,24,0.0234375,0.006773999938,151166.2251804408,98815.84249100603,4761,2170,2145,9076,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,5,40210,40211,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,6,0.005859375,0.006773999938,151166.2251804408,134227.7353454961,4688,2145,2134,8967,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,6,40212,40213,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,12,0.01171875,0.006645999942,154077.64203077086,123464.87360449013,4564,2111,2022,8697,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,7,40214,40215,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,14,0.013671875,0.006805999937,150455.48185111597,116574.62867540531,4716,2135,2182,9033,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,8,40216,40217,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,10,0.009765625,0.006613999943,154823.10384410596,128325.38528368769,4614,2051,2080,8745,5.999998200501011e-07,150453.52108594033
